Name,CAS,SMILES,IUPAC_Name
Trichlorfon,52-68-6,ClC(C(O)P(=O)(OC)OC)(Cl)Cl,"2,2,2-trichloro-1-dimethoxyphosphorylethanol"
Bensultap,17606-31-4,C1(=CC=CC=C1)S(=O)(=O)SCC(CSS(=O)(=O)C1=CC=CC=C1)N(C)C,"1,3-bis(benzenesulfonylsulfanyl)-N,N-dimethylpropan-2-amine"
Benzyl benzoate,120-51-4,C(C1=CC=CC=C1)(=O)OCC1=CC=CC=C1,benzyl benzoate
Cis-permethrin,61949-76-6,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2,"trans-(3-phenoxyphenyl)methyl (1R,3R)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate"
Spirodiclofen,148477-71-8,CC(C(=O)OC1=C(C(OC12CCCCC2)=O)C2=C(C=C(C=C2)Cl)Cl)(CC)C,"[3-(2,4-dichlorophenyl)-2-oxo-1-oxaspiro[4.5]dec-3-en-4-yl] 2,2-dimethylbutanoate"
Endothion,2778-04-3,COP(=O)(OC)SCC=1OC=C(C(C1)=O)OC,2-(dimethoxyphosphorylsulfanylmethyl)-5-methoxypyran-4-one
Hexachlorocyclohexane,27154-44-5,ClC1C(C(C(C(C1Cl)Cl)Cl)Cl)Cl,"1,2,3,4,5,6-hexachlorocyclohexane"
DCIP,956-48-9,ClC=1C=C(C=C(C1O)Cl)N=C1C=CC(C=C1)=O,"4-(3,5-dichloro-4-hydroxyphenyl)iminocyclohexa-2,5-dien-1-one"
Propoxur,114-26-1,CNC(OC1=C(C=CC=C1)OC(C)C)=O,(2-propan-2-yloxyphenyl) N-methylcarbamate
Cyflumetofen,400882-07-7,C(C)(C)(C)C1=CC=C(C=C1)C(C(=O)OCCOC)(C(C1=C(C=CC=C1)C(F)(F)F)=O)C#N,2-methoxyethyl 2-(4-tert-butylphenyl)-2-cyano-3-oxo-3-[2-(trifluoromethyl)phenyl]propanoate
Kadethrin,58769-20-3,CC1(C)[C@H](\C=C2/CCSC2=O)C1C(=O)OCc3coc(Cc4ccccc4)c3,"trans-(5-benzylfuran-3-yl)methyl (1R,3S)-2,2-dimethyl-3-[(E)-(2-oxothiolan-3-ylidene)methyl]cyclopropane-1-carboxylate"
Spidoxamat,907187-07-9,ClC1=CC(=C(C(=C1)C)C1=C(C2(NC1=O)CCC1(OCCO1)CC2)O)C,"2-(4-chloro-2,6-dimethylphenyl)-1-hydroxy-9,12-dioxa-4-azadispiro[4.2.48.25]tetradec-1-en-3-one"
Sodium tetraborate pentahydrate,12179-04-3,O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],disodium;[oxido(oxoboranyloxy)boranyl]oxy-oxoboranyloxyborinate;pentahydrate
Heterophos,40626-35-5,C(C)OP(=O)(SCCC)OC1=CC=CC=C1,[ethoxy(propylsulfanyl)phosphoryl]oxybenzene
Carbosulfan,55285-14-8,C(CCC)N(CCCC)SN(C(OC1=CC=CC=2CC(OC21)(C)C)=O)C,"(2,2-dimethyl-3H-1-benzofuran-7-yl) N-(dibutylamino)sulfanyl-N-methylcarbamate"
Frontalin,28401-39-0,C[C@]12CCC[C@](OC1)(O2)C,"(1S,5R)-1,5-dimethyl-6,8-dioxabicyclo[3.2.1]octane"
Clothianidin,210880-92-5,ClC=1SC(=CN1)CNC(=N[N+](=O)[O-])NC,"1-[(2-chloro-1,3-thiazol-5-yl)methyl]-3-methyl-2-nitroguanidine"
Bendiocarb,22781-23-3,CNC(OC1=CC=CC=2OC(OC21)(C)C)=O,"(2,2-dimethyl-1,3-benzodioxol-4-yl) N-methylcarbamate"
Ethoate-methyl,116-01-8,COP(=S)(OC)SCC(=O)NCC,2-dimethoxyphosphinothioylsulfanyl-N-ethylacetamide
Lime sulphur,1344-81-6,S.[Ca++],
Methoxychlor,72-43-5,COC1=CC=C(C=C1)C(C(Cl)(Cl)Cl)C1=CC=C(C=C1)OC,"1-methoxy-4-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]benzene"
Tetradifon,116-29-0,ClC1=C(C=C(C(=C1)S(=O)(=O)C1=CC=C(C=C1)Cl)Cl)Cl,"1,2,4-trichloro-5-(4-chlorophenyl)sulfonylbenzene"
